time,wrist_pos,wrist_vel,elbow_pos,elbow_vel,wrist_tau,elbow_tau,M11_wrist,M22_elbow
0.565000,1.255812,1.433410,-0.578890,-0.635783,20.000000,0.000000,1.333000,3.299215
0.570000,1.263586,1.554673,-0.582356,-0.693179,20.000000,0.000000,1.333000,3.285602
0.575000,1.271955,1.673845,-0.586104,-0.749455,20.000000,0.000000,1.333000,3.270802
0.580000,1.280909,1.790804,-0.590126,-0.804546,20.000000,0.000000,1.333000,3.254826
0.585000,1.288526,1.523455,-0.593463,-0.667397,-20.000000,0.000000,1.333000,3.237688
0.590000,1.294824,1.259608,-0.596123,-0.532026,-20.000000,0.000000,1.333000,3.223073
0.595000,1.301703,1.375809,-0.599057,-0.586719,20.000000,0.000000,1.333000,3.210965
0.600000,1.309155,1.490279,-0.602259,-0.640473,20.000000,0.000000,1.333000,3.197714
0.605000,1.317169,1.602900,-0.605725,-0.693224,20.000000,0.000000,1.333000,3.183333
0.610000,1.325737,1.713568,-0.609450,-0.744914,20.000000,0.000000,1.333000,3.167833
0.615000,1.333014,1.455344,-0.612510,-0.612067,-20.000000,0.000000,1.333000,3.151228
0.620000,1.339015,1.200265,-0.614915,-0.480838,-20.000000,0.000000,1.333000,3.137096
0.625000,1.345567,1.310316,-0.617576,-0.532234,20.000000,0.000000,1.333000,3.125423
0.630000,1.352661,1.418842,-0.620490,-0.582790,20.000000,0.000000,1.333000,3.112660
0.635000,1.360290,1.525740,-0.623652,-0.632450,20.000000,0.000000,1.333000,3.098819
0.640000,1.368444,1.630916,-0.627058,-0.681159,20.000000,0.000000,1.333000,3.083911
0.645000,1.375349,1.380934,-0.629819,-0.552194,-20.000000,0.000000,1.333000,3.067948
0.650000,1.381018,1.133766,-0.631942,-0.424702,-20.000000,0.000000,1.333000,3.054411
0.655000,1.387210,1.238439,-0.634308,-0.473212,20.000000,0.000000,1.333000,3.043283
0.660000,1.393919,1.341773,-0.636913,-0.520973,20.000000,0.000000,1.333000,3.031114
0.665000,1.401137,1.443677,-0.639753,-0.567931,20.000000,0.000000,1.333000,3.017913
0.670000,1.408858,1.544064,-0.642823,-0.614039,20.000000,0.000000,1.333000,3.003693
0.675000,1.415365,1.301491,-0.645266,-0.488567,-20.000000,0.000000,1.333000,2.988464
0.680000,1.420672,1.061427,-0.647088,-0.364440,-20.000000,0.000000,1.333000,2.975613
0.685000,1.426479,1.161402,-0.649140,-0.410438,20.000000,0.000000,1.333000,2.965122
0.690000,1.432780,1.260207,-0.651419,-0.455768,20.000000,0.000000,1.333000,2.953634
0.695000,1.439569,1.357757,-0.653921,-0.500380,20.000000,0.000000,1.333000,2.941157
0.700000,1.446839,1.453974,-0.656642,-0.544231,20.000000,0.000000,1.333000,2.927702
