time,B1_0,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B2_0,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15
2.094000000,0.990834527,0.000000000,0.135081237,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.135081237,0.000000000,0.990834527,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.402940740,0.000000000,-0.915226070,-0.135081237,0.000000000,1.000000000,0.000000000,0.000000000,0.915226070,0.000000000,0.402940740,-0.990834527,0.000000000,0.000000000,0.000000000,1.000000000
2.095000000,0.990514129,0.000000000,0.137410919,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.137410919,0.000000000,0.990514129,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.406251914,0.000000000,-0.913761119,-0.137410919,0.000000000,1.000000000,0.000000000,0.000000000,0.913761119,0.000000000,0.406251914,-0.990514129,0.000000000,0.000000000,0.000000000,1.000000000
2.096000000,0.990190180,0.000000000,0.139726184,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.139726184,0.000000000,0.990190180,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.409570175,0.000000000,-0.912278615,-0.139726184,0.000000000,1.000000000,0.000000000,0.000000000,0.912278615,0.000000000,0.409570175,-0.990190180,0.000000000,0.000000000,0.000000000,1.000000000
2.097000000,0.989862794,0.000000000,0.142026933,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.142026933,0.000000000,0.989862794,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.412895395,0.000000000,-0.910778454,-0.142026933,0.000000000,1.000000000,0.000000000,0.000000000,0.910778454,0.000000000,0.412895395,-0.989862794,0.000000000,0.000000000,0.000000000,1.000000000
2.098000000,0.989532081,0.000000000,0.144313066,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.144313066,0.000000000,0.989532081,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.416227447,0.000000000,-0.909260531,-0.144313066,0.000000000,1.000000000,0.000000000,0.000000000,0.909260531,0.000000000,0.416227447,-0.989532081,0.000000000,0.000000000,0.000000000,1.000000000
2.099000000,0.989198154,0.000000000,0.146584486,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.146584486,0.000000000,0.989198154,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.419566202,0.000000000,-0.907724739,-0.146584486,0.000000000,1.000000000,0.000000000,0.000000000,0.907724739,0.000000000,0.419566202,-0.989198154,0.000000000,0.000000000,0.000000000,1.000000000
2.100000000,0.988861127,0.000000000,0.148841095,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.148841095,0.000000000,0.988861127,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.422911530,0.000000000,-0.906170976,-0.148841095,0.000000000,1.000000000,0.000000000,0.000000000,0.906170976,0.000000000,0.422911530,-0.988861127,0.000000000,0.000000000,0.000000000,1.000000000
2.101000000,0.988521112,0.000000000,0.151082797,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.151082797,0.000000000,0.988521112,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.426263301,0.000000000,-0.904599137,-0.151082797,0.000000000,1.000000000,0.000000000,0.000000000,0.904599137,0.000000000,0.426263301,-0.988521112,0.000000000,0.000000000,0.000000000,1.000000000
2.102000000,0.988178222,0.000000000,0.153309493,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.153309493,0.000000000,0.988178222,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.429621385,0.000000000,-0.903009117,-0.153309493,0.000000000,1.000000000,0.000000000,0.000000000,0.903009117,0.000000000,0.429621385,-0.988178222,0.000000000,0.000000000,0.000000000,1.000000000
2.103000000,0.987832572,0.000000000,0.155521088,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.155521088,0.000000000,0.987832572,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.432985649,0.000000000,-0.901400814,-0.155521088,0.000000000,1.000000000,0.000000000,0.000000000,0.901400814,0.000000000,0.432985649,-0.987832572,0.000000000,0.000000000,0.000000000,1.000000000
