time,theta0,theta1,dtheta0,dtheta1,M00,M01,M10,M11,Cv0,Cv1,taug0,taug1,hplus0,hplus1,hminus0,hminus1,vdot_plus0,vdot_plus1,vdot_minus0,vdot_minus1
3.018000000,1.084180974,0.704253600,1.455867276,-2.495226742,4.187190064,2.092095032,2.092095032,1.330000000,0.672898537,1.372334519,-22.585476551,-9.578583391,-21.912578015,-8.206248872,23.258375088,10.950917910,10.045687935,-9.631793196,-6.730366655,2.353119347
3.019000000,1.085630111,0.701760727,1.449136909,-2.492873623,4.190413422,2.093706711,2.093706711,1.330000000,0.652413732,1.355681636,-22.597640444,-9.580789033,-21.945226712,-8.225107398,23.250054175,10.936470669,10.058646527,-9.650186723,-6.745566831,2.396066072
3.020000000,1.087072502,0.699270249,1.442391342,-2.490477557,4.193624204,2.095312102,2.095312102,1.330000000,0.632078698,1.339128677,-22.609729526,-9.582993365,-21.977650828,-8.243864687,23.241808223,10.922122042,10.071540762,-9.668538766,-6.760811759,2.439014027
3.021000000,1.088508132,0.696782210,1.435630530,-2.488038543,4.196822362,2.096911181,2.096911181,1.330000000,0.611894014,1.322675933,-22.621743861,-9.585196193,-22.009849848,-8.262520261,23.233637875,10.907872126,10.084370417,-9.686848737,-6.776101128,2.481962475
3.022000000,1.089936987,0.694296654,1.428854429,-2.485556580,4.200007849,2.098503924,2.098503924,1.330000000,0.591860241,1.306323686,-22.633683515,-9.587397329,-22.041823275,-8.281073644,23.225543756,10.893721015,10.097135277,-9.705116061,-6.791434610,2.524910652
3.023000000,1.091359050,0.691813622,1.422062995,-2.483031669,4.203180619,2.100090309,2.100090309,1.330000000,0.571977923,1.290072214,-22.645548552,-9.589596582,-22.073570629,-8.299524368,23.217526475,10.879668796,10.109835135,-9.723340171,-6.806811861,2.567857768
3.024000000,1.092774306,0.689333158,1.415256183,-2.480463812,4.206340626,2.101670313,2.101670313,1.330000000,0.552247588,1.273921791,-22.657339038,-9.591793762,-22.105091449,-8.317871971,23.209586626,10.865715553,10.122469789,-9.741520510,-6.822232515,2.610803002
3.025000000,1.094182740,0.686855305,1.408433950,-2.477853009,4.209487827,2.103243913,2.103243913,1.330000000,0.532669746,1.257872684,-22.669055036,-9.593988681,-22.136385290,-8.336115997,23.201724783,10.851861365,10.135039047,-9.759656533,-6.837696190,2.653745509
3.026000000,1.095584336,0.684380106,1.401596254,-2.475199263,4.212622177,2.104811088,2.104811088,1.330000000,0.513244890,1.241925155,-22.680696614,-9.596181150,-22.167451724,-8.354255995,23.193941505,10.838106306,10.147542723,-9.777747706,-6.853202484,2.696684417
3.027000000,1.096979079,0.681907603,1.394743052,-2.472502579,4.215743634,2.106371817,2.106371817,1.330000000,0.493973496,1.226079462,-22.692263838,-9.598370983,-22.198290341,-8.372291520,23.186237334,10.824450445,10.159980639,-9.795793503,-6.868750979,2.739618822
3.028000000,1.098366954,0.679437841,1.387874301,-2.469762960,4.218852156,2.107926078,2.107926078,1.330000000,0.474856024,1.210335856,-22.703756772,-9.600557992,-22.228900748,-8.390222136,23.178612796,10.810893848,10.172352625,-9.813793410,-6.884341236,2.782547798
3.029000000,1.099747944,0.676970860,1.380989959,-2.466980412,4.221947701,2.109473850,2.109473850,1.330000000,0.455892916,1.194694583,-22.715175485,-9.602741991,-22.259282569,-8.408047408,23.171068401,10.797436574,10.184658517,-9.831746925,-6.899972800,2.825470389
3.030000000,1.101122034,0.674506705,1.374089987,-2.464154942,4.225030229,2.111015115,2.111015115,1.330000000,0.437084596,1.179155883,-22.726520042,-9.604922796,-22.289435446,-8.425766912,23.163604639,10.784078679,10.196898161,-9.849653555,-6.915645198,2.868385610
3.031000000,1.102489208,0.672045419,1.367174341,-2.461286556,4.228099702,2.112549851,2.112549851,1.330000000,0.418431475,1.163719992,-22.737790512,-9.607100220,-22.319359037,-8.443380228,23.156221986,10.770820213,10.209071408,-9.867512821,-6.931357936,2.911292452
3.032000000,1.103849451,0.669587043,1.360242983,-2.458375264,4.231156079,2.114078039,2.114078039,1.330000000,0.399933942,1.148387139,-22.748986960,-9.609274082,-22.349053017,-8.460886943,23.148920902,10.757661221,10.221178119,-9.885324251,-6.947110505,2.954189876
3.033000000,1.105202747,0.667131622,1.353295873,-2.455421074,4.234199323,2.115599661,2.115599661,1.330000000,0.381592375,1.133157547,-22.760109455,-9.611444197,-22.378517080,-8.478286649,23.141701830,10.744601744,10.233218160,-9.903087387,-6.962902377,2.997076818
3.034000000,1.106549080,0.664679198,1.346332971,-2.452423997,4.237229397,2.117114698,2.117114698,1.330000000,0.363407129,1.118031436,-22.771158064,-9.613610382,-22.407750935,-8.495578946,23.134565194,10.731641818,10.245191408,-9.920801782,-6.978733006,3.039952183
3.035000000,1.107888434,0.662229814,1.339354238,-2.449384045,4.240246264,2.118623132,2.118623132,1.330000000,0.345378548,1.103009018,-22.782132857,-9.615772457,-22.436754309,-8.512763439,23.127511404,10.718781475,10.257097745,-9.938467000,-6.994601827,3.082814853
3.036000000,1.109220794,0.659783513,1.332359636,-2.446301230,4.243249890,2.120124945,2.120124945,1.330000000,0.327506954,1.088090499,-22.793033900,-9.617930240,-22.465526946,-8.529839741,23.120540854,10.706020739,10.268937062,-9.956082617,-7.010508258,3.125663680
3.037000000,1.110546143,0.657340337,1.325349128,-2.443175566,4.246240239,2.121620119,2.121620119,1.330000000,0.309792657,1.073276081,-22.803861263,-9.620083551,-22.494068606,-8.546807470,23.113653920,10.693359632,10.280709257,-9.973648220,-7.026451700,3.168497490
3.038000000,1.111864465,0.654900330,1.318322676,-2.440007069,4.249217278,2.123108639,2.123108639,1.330000000,0.292235948,1.058565960,-22.814615014,-9.622232211,-22.522379066,-8.563666251,23.106850962,10.680798171,10.292414237,-9.991163406,-7.042431535,3.211315082
3.039000000,1.113175746,0.652463535,1.311280244,-2.436795754,4.252180973,2.124590487,2.124590487,1.330000000,0.274837101,1.043960325,-22.825295223,-9.624376041,-22.550458122,-8.580415717,23.100132324,10.668336366,10.304051916,-10.008627788,-7.058447128,3.254115228
3.040000000,1.114479967,0.650029993,1.304221797,-2.433541638,4.255131294,2.126065647,2.126065647,1.330000000,0.257596374,1.029459359,-22.835901959,-9.626514864,-22.578305585,-8.597055505,23.093498333,10.655974223,10.315622215,-10.026040986,-7.074497827,3.296896673
3.041000000,1.115777115,0.647599748,1.297147299,-2.430244742,4.258068207,2.127534104,2.127534104,1.330000000,0.240514009,1.015063242,-22.846435291,-9.628648502,-22.605921282,-8.613585260,23.086949300,10.643711744,10.327125063,-10.043402635,-7.090582961,3.339658136
3.042000000,1.117067171,0.645172843,1.290056716,-2.426905084,4.260991684,2.128995842,2.128995842,1.330000000,0.223590231,1.000772145,-22.856895289,-9.630776780,-22.633305058,-8.630004635,23.080485520,10.631548924,10.338560399,-10.060712381,-7.106701843,3.382398308
